OBJECTID,GEOID,NAME
1,res4390,Uintah and Ouray
2,res4930,San Felipe Pueblo/Santa Ana Pueblo
3,res1235,Fort Mojave
4,res3355,San Carlos
5,res4235,Tonto Apache
6,res4785,Zuni
7,res2785,Picuris
8,res3840,Skull Valley
9,res1505,Hopi
10,res1140,Fort Apache
11,res0735,Colorado River
12,res4470,Ute Mountain
13,res0010,Acoma
14,res4140,Taos
15,res1270,Fort Sill Apache
16,res4940,San Felipe Pueblo/Santo Domingo Pueblo
17,res2430,Navajo Nation
18,res4200,Tohono O'odham Nation
19,res1440,Havasupai
20,res4710,Yavapai-Prescott
21,res1545,Hualapai
22,res2400,Nambe
23,res1685,Jemez
24,res1625,Isleta
25,res3415,San Ildefonso
26,res3585,Santo Domingo
27,res2625,Paiute (UT)
28,res2505,Northwestern Shoshone
29,res3340,Salt River
30,res2680,Pascua Pueblo Yaqui
31,res1720,Kaibab
32,res1340,Goshute
33,res2990,Pojoaque
34,res4708,Yavapai-Apache Nation
35,res1220,Fort McDowell Yavapai Nation
36,res2205,Mescalero
37,res1840,Laguna
38,res3495,Santa Clara
39,res3400,San Felipe
40,res4170,Tesuque
41,res3370,Sandia
42,res3480,Santa Ana
43,res0680,Cochiti
44,res2510,Ohkay Owingeh
45,res0695,Cocopah
46,res3925,Southern Ute
47,res1700,Jicarilla Apache Nation
48,res2130,Maricopa (Ak Chin)
49,res1280,Fort Yuma
50,res4770,Zia
51,res1310,Gila River
